,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pred_W,pred_L,true_W,true_L
Utah Jazz,13,14,10,9,6,3,3,2,0,0,39,43,40,42
Memphis Grizzlies,30,2,18,2,9,0,6,0,2,0,70,16,42,44
San Antonio Spurs,13,7,12,0,4,0,2,0,0,0,79,13,73,19
Indiana Pacers,13,21,7,9,1,1,0,1,0,0,40,49,48,41
Atlanta Hawks,33,3,27,2,19,0,11,0,5,0,82,10,52,40
Miami Heat,11,32,4,24,3,10,0,2,0,0,34,62,55,41
Charlotte Hornets,3,36,2,28,1,15,0,5,0,0,18,71,51,38
Milwaukee Bucks,18,15,12,9,5,4,3,1,0,0,36,46,33,49
Chicago Bulls,29,10,22,2,18,2,7,0,3,0,61,21,42,40
Washington Wizards,19,10,11,8,7,3,3,0,0,0,50,32,41,41
Portland Trail Blazers,21,13,12,9,8,3,4,0,0,0,57,36,49,44
New Orleans Pelicans,20,8,15,4,10,0,6,0,0,0,42,40,30,52
Cleveland Cavaliers,24,10,21,4,11,2,3,2,0,0,87,16,73,30
Detroit Pistons,9,30,4,18,3,13,2,5,0,0,23,63,44,42
Golden State Warriors,18,0,14,0,14,0,9,0,4,0,106,0,88,18
Los Angeles Clippers,24,2,22,0,10,0,5,0,1,0,77,11,55,33
Houston Rockets,33,4,25,2,17,0,11,0,1,0,71,16,42,45
Brooklyn Nets,24,12,17,7,12,4,3,1,0,0,33,49,21,61
Toronto Raptors,21,20,14,11,8,2,3,0,0,0,67,35,66,36
Philadelphia 76ers,4,10,0,8,0,6,0,3,0,0,4,78,10,72
New York Knicks,0,28,0,25,0,23,0,20,0,5,4,78,32,50
Boston Celtics,12,16,8,9,5,3,2,1,0,1,46,42,50,38
Orlando Magic,3,28,2,25,0,22,0,9,0,1,10,72,35,47
Oklahoma City Thunder,12,25,8,13,4,6,2,1,0,0,53,47,66,34
Dallas Mavericks,22,8,14,3,8,2,1,0,0,0,57,30,43,44
Phoenix Suns,18,12,13,11,7,6,4,1,0,0,29,53,23,59
Denver Nuggets,7,22,3,19,0,14,0,7,0,1,18,64,33,49
Sacramento Kings,7,25,5,22,2,12,0,3,0,0,15,67,33,49
Los Angeles Lakers,4,17,3,15,0,13,0,7,0,1,4,78,17,65
Minnesota Timberwolves,3,28,0,27,0,23,0,19,0,7,4,78,29,53
