,0.5/mis_W,0.5/mis_L,0.6/mis_W,0.6/mis_L,0.7/mis_W,0.7/mis_L,0.8/mis_W,0.8/mis_L,0.9/mis_W,0.9/mis_L,pre_W,pre_L
Golden State Warriors,13,4,13,0,13,0,11,0,3,0,92,7
Oklahoma City Thunder,33,1,28,0,20,0,12,0,2,0,80,7
Sacramento Kings,12,21,5,14,4,7,1,5,0,1,23,59
Houston Rockets,9,25,5,16,1,9,1,5,0,0,45,48
Boston Celtics,21,12,11,3,6,2,3,1,1,0,71,29
Portland Trail Blazers,27,9,19,4,9,2,4,1,1,0,59,27
Los Angeles Clippers,26,11,21,5,18,4,7,2,1,0,69,20
Cleveland Cavaliers,30,0,28,0,21,0,11,0,1,0,94,6
Washington Wizards,10,25,5,10,2,4,2,2,0,0,41,54
San Antonio Spurs,26,3,23,2,20,1,17,0,4,0,92,6
Charlotte Hornets,28,6,17,3,13,1,6,0,2,0,58,24
Atlanta Hawks,32,11,19,7,11,3,5,2,0,0,66,22
New Orleans Pelicans,6,27,4,17,1,12,0,4,0,0,13,69
Toronto Raptors,24,3,19,2,15,2,6,0,2,0,76,16
Minnesota Timberwolves,11,22,4,16,3,9,1,3,0,0,20,62
Dallas Mavericks,21,11,15,7,4,4,1,1,0,0,43,39
Indiana Pacers,22,10,16,5,9,1,4,1,1,0,54,32
Orlando Magic,15,17,5,12,3,8,1,3,0,1,27,55
Detroit Pistons,21,17,13,9,5,3,1,0,0,0,41,41
Denver Nuggets,6,25,3,18,2,9,1,5,0,1,21,61
Chicago Bulls,19,22,13,14,4,7,2,4,0,0,40,48
Phoenix Suns,5,21,2,20,1,16,0,11,0,2,8,74
Miami Heat,26,6,18,4,12,2,7,1,2,0,61,21
Memphis Grizzlies,10,25,4,21,3,13,0,7,0,1,30,58
Milwaukee Bucks,6,33,3,27,2,17,0,8,0,1,17,71
Brooklyn Nets,4,19,3,16,0,11,0,5,0,0,5,77
New York Knicks,11,25,7,17,2,9,2,3,0,0,17,65
Utah Jazz,8,20,6,10,1,7,0,2,0,1,43,50
Philadelphia 76ers,0,28,0,27,0,24,0,20,0,9,0,82
Los Angeles Lakers,2,25,0,23,0,18,0,10,0,3,3,79
